Fn,CCDE,DE
F1,4.0431e+04 (1.7983e+05) +,2.5594e+11 (4.3103e+10)
F3,2.1695e+05 (1.4802e+04) +,3.5122e+05 (1.6405e+04)
F4,2.9579e+02 (6.0481e+01) +,4.6230e+03 (1.0016e+03)
F5,8.4298e+02 (1.5780e+01) +,1.1704e+03 (4.4972e+01)
F6,7.8546e+01 (1.9646e+00) -,7.2692e+01 (6.4773e+00)
F7,2.1032e+03 (6.6851e+02) -,1.3405e+03 (6.8492e+01)
F8,1.0720e+03 (1.8926e+01) +,1.1623e+03 (5.7752e+01)
F9,2.2171e+04 (9.5259e+01) +,4.1808e+04 (9.9622e+03)
F10,1.5474e+04 (5.4933e+02) +,2.8297e+04 (5.4973e+02)
F11,8.5633e+02 (1.8912e+02) +,2.5638e+05 (6.6667e+04)
F12,4.7034e+06 (2.4837e+06) +,8.2430e+10 (2.3201e+10)
F13,6.9858e+03 (4.5901e+03) +,6.0306e+09 (2.2130e+09)
F14,1.2701e+05 (4.9933e+04) +,4.9221e+06 (9.2479e+05)
F15,2.6212e+03 (3.0227e+03) +,2.8273e+09 (1.3455e+09)
F16,3.2867e+03 (1.0962e+03) +,1.1285e+04 (4.5542e+02)
F17,2.8962e+03 (7.0125e+02) +,1.1682e+04 (1.5001e+03)
F18,4.5409e+05 (2.4516e+05) +,2.6771e+07 (5.7006e+06)
F19,2.0272e+03 (2.0159e+03) +,1.4276e+09 (6.3104e+08)
F20,4.0014e+03 (3.5697e+02) +,4.7947e+03 (2.7637e+02)
F21,7.5719e+02 (7.9883e+01) +,1.5216e+03 (5.8052e+01)
F22,1.9089e+04 (7.2564e+02) -,4.4546e+03 (1.4283e+03)
F23,2.7956e+03 (1.8455e+03) =,1.9443e+03 (6.6663e+01)
F24,1.8867e+03 (1.7706e+02) +,2.5112e+03 (1.3088e+02)
F25,8.3094e+02 (4.6485e+01) +,3.2161e+03 (4.4064e+02)
F26,1.4823e+04 (7.6320e+03) =,1.7943e+04 (8.8960e+02)
F27,5.0002e+02 (4.2124e-04) +,5.0002e+02 (3.6040e-05)
F28,5.8812e+02 (4.0462e+01) =,3.9983e+03 (3.0884e+03)
F29,3.0346e+03 (5.9089e+02) +,1.2706e+04 (1.5348e+03)
F30,5.8549e+03 (5.1377e+03) +,2.6540e+09 (1.3024e+09)
w/t/l,23/3/3,
