Fn,CCPSO,PSO
F1,1.1668e+11 (3.7582e+10) +,2.2191e+12 (2.8621e+11)
F3,4.4064e+05 (6.2046e+04) +,5.3222e+05 (9.3243e+04)
F4,1.8427e+03 (4.1760e+02) +,4.9485e+04 (9.6772e+03)
F5,6.6735e+02 (6.8322e+01) +,1.2746e+03 (7.8412e+01)
F6,6.9694e+01 (9.5429e+00) +,9.4808e+01 (4.5368e+00)
F7,1.4822e+03 (1.5672e+02) +,4.1867e+03 (3.4492e+02)
F8,7.1507e+02 (9.9736e+01) +,1.3831e+03 (1.0544e+02)
F9,2.7170e+04 (3.5443e+03) +,3.8789e+04 (5.6042e+03)
F10,1.5810e+04 (1.5102e+03) +,1.9382e+04 (1.5368e+03)
F11,7.1211e+04 (2.0821e+04) +,1.3262e+05 (3.0453e+04)
F12,9.4281e+09 (3.9423e+09) +,6.5513e+11 (1.6495e+11)
F13,1.5145e+08 (1.8641e+08) +,1.1731e+11 (3.4725e+10)
F14,4.0986e+06 (1.5344e+06) +,2.3569e+07 (1.1604e+07)
F15,5.1387e+04 (2.8109e+04) +,2.3721e+10 (1.1403e+10)
F16,4.7035e+03 (8.0663e+02) +,9.1791e+03 (9.8834e+02)
F17,3.8709e+03 (5.2445e+02) +,1.8712e+04 (1.0400e+04)
F18,4.6518e+06 (2.4655e+06) +,3.3712e+07 (2.2607e+07)
F19,1.6727e+07 (1.2954e+07) +,2.0759e+10 (1.3821e+10)
F20,3.1168e+03 (4.4298e+02),
